,altitude,longitude,latitude,srf_salt,srf_crust,bare_soil,crop_type
12344,250,43.6106218,5.881479,No,No,Yes,Vegetables
12345,244,43.6174921,5.8762569,No,No,Yes,Vegetables
12357,1693,42.8630526,9.3849564,No,No,No,Cereals
12360,1544,42.5932562,9.3559543,No,No,No,Cereals
12361,1552,42.5976218,9.354765,No,No,No,Cereals
12363,1868,42.6842472,9.5186143,No,No,No,Cereals
12364,1888,42.6806712,9.5255815,No,No,No,Cereals
12368,1660,42.3616554,9.1771634,No,No,No,Oilcrops
12369,1569,42.363953,9.1808449,No,No,No,Oilcrops
12370,1580,42.3647157,9.1850219,No,No,No,Cereals
12371,1581,42.3630434,9.1875239,No,No,No,Oilcrops
12372,1999,42.1242105,9.3480401,No,No,No,Cereals
12373,2018,42.1214771,9.3466917,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
12374,1990,42.1249287,9.3536006,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
12375,2030,42.1131507,9.3502709,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
12376,1603,42.1685222,8.9590235,No,No,No,Cereals
12377,1606,42.1687019,8.9496769,No,No,No,Cereals
12380,1587,42.1764891,8.9437994,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
12381,1774,42.1508612,9.170323,No,No,No,Cereals
12382,1782,42.1504184,9.1694252,No,No,No,Cereals
12383,1589,42.1742262,8.9475307,No,No,No,Fodder plants
12386,1984,41.7842031,9.0997768,No,No,No,Cereals
12388,2023,41.7743322,9.1019488,No,No,No,Cereals
12389,1847,41.7790709,9.0961682,No,No,No,Cereals
12391,2031,42.0060924,9.4603006,No,No,No,Cereals
12392,2013,42.0161165,9.4636013,No,No,Yes,Cereals
12393,2076,42.0064008,9.4486774,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
12396,2035,42.0050224,9.4610728,No,No,No,Cereals
12397,1512,41.8888196,9.5170531,No,No,No,Cereals
12399,2240,42.3216706,9.5506779,No,No,No,Roots and tubers
12400,2165,42.3265092,9.5464873,No,No,No,Cereals
12401,2241,42.3229204,9.5499049,No,No,No,Cereals
12402,2248,42.316463,9.5481804,No,No,No,Cereals
12403,1800,41.5825457,9.4898361,No,No,No,Cereals
12407,2493,41.5472047,9.363199,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
12409,1730,41.6844066,9.4769015,No,No,No,Cereals
12410,2454,41.5461486,9.3594485,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
12411,2622,41.5502672,9.3691465,No,No,No,Cereals
12412,2024,41.678427,9.4686764,No,No,No,Cereals
12414,2378,41.5452711,9.3698168,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
12416,369,41.1216336,11.7030895,No,No,Yes,Vegetables
12417,373,41.1263283,11.7057376,No,No,No,Vegetables
12429,1907,41.3269552,9.135832,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
12430,2217,41.3350132,9.1244227,No,No,No,Cereals
12431,2202,41.334736,9.1382035,No,No,No,Cereals
12432,1826,41.0089488,9.2925197,No,No,No,Cereals
12434,2004,41.1505914,9.0587364,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
12435,2015,41.1497342,9.0569511,No,No,No,Cereals
12436,1870,41.14401,9.0581117,No,No,No,Cereals
12437,2327,40.9223312,9.0375116,No,No,No,Cereals
12438,2272,40.9255238,9.0344284,No,No,No,Oilcrops
12439,2243,40.9288879,9.0416383,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
12440,2022,40.9276303,9.0485444,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
12445,1658,40.7567069,8.8514826,No,No,No,Oilcrops
12450,1587,41.1429154,8.63139,No,No,No,Cereals
12451,1582,41.142733,8.6337603,No,No,No,Vegetables
12453,1698,40.8297407,8.5367615,No,No,No,Cereals
12455,1655,40.842747,8.5323306,No,No,No,Cereals
12456,1666,40.8446153,8.544247,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
12458,1787,40.4614902,8.7715897,No,No,No,Cereals
12459,1803,40.4672204,8.7781698,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
12460,1831,40.4675152,8.7763512,No,No,No,Oilcrops
12464,1600,40.4405386,8.4972234,No,No,No,Cereals
12466,1350,40.5201608,9.1270318,No,No,No,Cereals
12467,1356,40.5240435,9.1399895,No,No,No,Cereals
12468,1344,40.5210239,9.1250701,No,No,No,Cereals
12472,1586,36.5931683,5.8823417,No,Yes,No,Cereals
12474,1442,36.5033135,5.9659153,No,No,No,Cereals
12475,1320,36.4969063,5.9699144,No,No,No,Cereals
12476,1321,36.495121,5.9702897,No,No,No,Cereals
12477,2818,36.7047272,6.1421823,No,No,No,Fruits
12478,2993,36.7198036,6.1443607,No,No,No,Fruits
12479,2907,36.7171446,6.1557378,No,No,No,Cereals
12480,2874,36.716759,6.1576017,No,No,No,Cereals
12483,1351,36.9476573,6.2735095,No,No,No,Cereals
12484,1392,36.9492378,6.2747426,No,No,No,Cereals
12488,1129,36.9439037,6.0501354,No,No,No,Cereals
12494,1374,36.7573999,5.645661,No,No,No,Cereals
